genome	rate	I_alg	S_alg	k	d	kmer_count	index_bytes	Unnamed..9	pref	S_time_s	S_mem_kb	I_time_s	I_mem_kb	Q_time_s	Q_mem_kb	qType	num_queries	SI_time_s	SI_mem_kb	Q_time_mus_per_query	Q_mem_bits_per_kmer	SIalg	bits_per_kmer	bits_per_ref_kmer	Q_time_per_query_ms	plot	alg	algorithm	qTypeLabel
ec-pg-all	0.1	SSHash	eulertigs	15	na	36962717	262280702	sshash.ecoli_pangenome_661k_all.unitigs_k128.S_eulertigs.k_15.d_na	na	204.23	20694300	28.93	1519684	2.79	259960	Neg	1000000	233.16	20694300	2.79	56.264262175315736	SSHash - eulertigs	56.264262175315736	5.626426217531574	2.79	subsampl-isol	2	SSHash(spss)	-
ec-pg-all	0.1	SSHash	eulertigs	15	na	36962717	262280702	sshash.ecoli_pangenome_661k_all.unitigs_k128.S_eulertigs.k_15.d_na	na	204.23	20694300	28.93	1519684	2.29	259952	Pos	1000000	233.16	20694300	2.29	56.26253070086812	SSHash - eulertigs	56.26253070086812	5.626253070086812	2.29	subsampl-isol	2	SSHash(spss)	+
ec-pg-all	0.1	SSHash	eulertigs	15	na	36962717	262280702	sshash.ecoli_pangenome_661k_all.unitigs_k128.S_eulertigs.k_15.d_na	na	204.23	20694300	28.93	1519684	1.98	259676	Str	999856	233.16	20694300	1.980285161063193	56.20279483242533	SSHash - eulertigs	56.20279483242533	5.620279483242534	1.980285161063193	subsampl-stream	2	SSHash(spss)	
ec-pg-all	0.1	cbl	none	15	na	36962717	182000891	cbl.ecoli_pangenome_661k_all.unitigs_k128.S_none.k_15.d_na	na	na	na	45.86	931580	4.43	930808	Neg	1000000	45.86	931580	4.43	201.4587834546903	cbl - none	201.4587834546903	20.14587834546903	4.43	subsampl-isol	6	CBL	-
ec-pg-all	0.1	cbl	none	15	na	36962717	182000891	cbl.ecoli_pangenome_661k_all.unitigs_k128.S_none.k_15.d_na	na	na	na	45.86	931580	3.3400000000000003	930804	Pos	1000000	45.86	931580	3.3400000000000003	201.4579177174665	cbl - none	201.4579177174665	20.14579177174665	3.3400000000000003	subsampl-isol	6	CBL	+
ec-pg-all	0.1	cbl	none	15	na	36962717	182000891	cbl.ecoli_pangenome_661k_all.unitigs_k128.S_none.k_15.d_na	na	na	na	45.86	931580	2.87	930804	Str	999856	45.86	931580	2.870413339520891	201.4579177174665	cbl - none	201.4579177174665	20.14579177174665	2.870413339520891	subsampl-stream	6	CBL	
ec-pg-all	0.1	fmsi	global	15	na	36962717	34423140	fmsi.ecoli_pangenome_661k_all.unitigs_k128.S_global.k_15.d_na	na	157.64000000000001	1707432	28.28	1507472	4.73	38860	Neg	1000000	185.92	1707432	4.73	8.410637129299776	fmsi - global	8.410637129299776	0.8410637129299776	4.73	subsampl-isol	7	FMSI(superstr)	-
ec-pg-all	0.1	fmsi	global	15	na	36962717	34423140	fmsi.ecoli_pangenome_661k_all.unitigs_k128.S_global.k_15.d_na	na	157.64000000000001	1707432	28.28	1507472	3.32	38860	Pos	1000000	185.92	1707432	3.32	8.410637129299776	fmsi - global	8.410637129299776	0.8410637129299776	3.32	subsampl-isol	7	FMSI(superstr)	+
ec-pg-all	0.1	fmsi	global	15	na	36962717	45743820	fmsi.ecoli_pangenome_661k_all.unitigs_k128.S_global.k_15.d_na	na	157.64000000000001	1707432	28.28	1507472	2.06	49740	Str	999856	185.92	1707432	2.060296682722312	10.765442378058951	fmsi - global	10.765442378058951	1.0765442378058951	2.060296682722312	subsampl-stream	7	FMSI(superstr)	
ec-pg-all	0.1	fmsi	local	15	1	36962717	140999896	fmsi.ecoli_pangenome_661k_all.unitigs_k128.S_local.k_15.d_1	na	126.49	552868	145.49	7039664	5.25	148100	Neg	1000000	271.98	7039664	5.25	32.053920711510465	fmsi - local	32.053920711510465	3.2053920711510466	5.25	subsampl-isol	8	FMSI(spss)	-
ec-pg-all	0.1	fmsi	local	15	1	36962717	140999896	fmsi.ecoli_pangenome_661k_all.unitigs_k128.S_local.k_15.d_1	na	126.49	552868	145.49	7039664	3.77	148100	Pos	1000000	271.98	7039664	3.77	32.053920711510465	fmsi - local	32.053920711510465	3.2053920711510466	3.77	subsampl-isol	8	FMSI(spss)	+
ec-pg-all	0.1	fmsi	local	15	1	36962717	193974696	fmsi.ecoli_pangenome_661k_all.unitigs_k128.S_local.k_15.d_1	na	126.49	552868	145.49	7039664	2.45	199836	Str	999856	271.98	7039664	2.450352850810517	43.25136596424987	fmsi - local	43.25136596424987	4.325136596424987	2.450352850810517	subsampl-stream	8	FMSI(spss)	
ec-pg-all	0.1	sbwt	none	15	0	36962717	96114072	sbwt.ecoli_pangenome_661k_all.unitigs_k128.S_none.k_15.d_0	na	na	na	1100.51	14701172	1.66	123228	Neg	1000000	1100.51	14701172	1.66	26.670766653869087	sbwt - none	26.670766653869087	2.667076665386909	1.66	subsampl-isol	3	SBWT-fast	-
ec-pg-all	0.1	sbwt	none	15	0	36962717	96114072	sbwt.ecoli_pangenome_661k_all.unitigs_k128.S_none.k_15.d_0	na	na	na	1100.51	14701172	1.7	123228	Pos	1000000	1100.51	14701172	1.7	26.670766653869087	sbwt - none	26.670766653869087	2.667076665386909	1.7	subsampl-isol	3	SBWT-fast	+
ec-pg-all	0.1	sbwt	none	15	0	36962717	118482368	sbwt.ecoli_pangenome_661k_all.unitigs_k128.S_none.k_15.d_0	na	na	na	1100.51	14701172	0.75	145052	Str	999856	1100.51	14701172	0.7501080155542398	31.39422894696837	sbwt - none	31.394228946968372	3.139422894696837	0.7501080155542398	subsampl-stream	3	SBWT-fast	
ec-pg-all	0.1	sbwt	none	15	1	36962717	56525954	sbwt.ecoli_pangenome_661k_all.unitigs_k128.S_none.k_15.d_1	na	na	na	601.46	8142832	14.59	84688	Neg	1000000	601.46	8142832	14.59	18.329388502473996	sbwt - none	18.329388502473993	1.8329388502473993	14.59	subsampl-isol	4	SBWT-small	-
ec-pg-all	0.1	sbwt	none	15	1	36962717	56525954	sbwt.ecoli_pangenome_661k_all.unitigs_k128.S_none.k_15.d_1	na	na	na	601.46	8142832	15.41	84688	Pos	1000000	601.46	8142832	15.41	18.329388502473996	sbwt - none	18.329388502473993	1.8329388502473993	15.41	subsampl-isol	4	SBWT-small	+
ec-pg-all	0.1	sbwt	none	15	1	36962717	69788490	sbwt.ecoli_pangenome_661k_all.unitigs_k128.S_none.k_15.d_1	na	na	na	601.46	8142832	9.1	97648	Str	999856	601.46	8142832	9.101310588724775	21.1343771076136	sbwt - none	21.1343771076136	2.1134377107613598	9.101310588724777	subsampl-stream	4	SBWT-small	
ec-pg-all	0.1	SSHash	eulertigs	23	na	117227291	1182946010	sshash.ecoli_pangenome_661k_all.unitigs_k128.S_eulertigs.k_23.d_na	na	675.72	75454456	138.8	5341164	6.82	1159076	Neg	1000000	814.52	75454456	6.82	79.09939674371559	SSHash - eulertigs	79.09939674371559	7.909939674371559	6.82	subsampl-isol	2	SSHash(spss)	-
ec-pg-all	0.1	SSHash	eulertigs	23	na	117227291	1182946010	sshash.ecoli_pangenome_661k_all.unitigs_k128.S_eulertigs.k_23.d_na	na	675.72	75454456	138.8	5341164	3.66	1159068	Pos	1000000	814.52	75454456	3.66	79.0988507957588	SSHash - eulertigs	79.0988507957588	7.909885079575881	3.66	subsampl-isol	2	SSHash(spss)	+
